window,entry_thr,exit_ratio,trades,win_rate,pf,total_pnl,propagation_rate,cost_model
6,0.0005,0.1,3160,0.1680379746835443,0.28991803227083085,-1055.947183861053,0.9727848101265822,Old (0.02% fixed)
12,0.0005,0.2,3973,0.16989680342310595,0.2711694485620204,-1446.3229564104527,0.9760885980367481,Old (0.02% fixed)
24,0.0005,0.2,4643,0.1587335774283868,0.2533725478580242,-1881.44758311477,0.9797544690932587,Old (0.02% fixed)
12,0.0005,0.1,4215,0.15634638196915776,0.24675544284388226,-1553.6979337252328,0.9734282325029656,Old (0.02% fixed)
24,0.0005,0.1,5001,0.15236952609478105,0.23894228608117268,-1980.1560364788222,0.981003799240152,Old (0.02% fixed)
6,0.0015,1.0,136,0.4264705882352941,1.69001236905679,18.93130036623218,0.9852941176470589,Realistic
6,0.0015,0.2,149,0.4563758389261745,1.5761397393796788,13.565916323048263,0.9463087248322147,Realistic
6,0.0015,0.5,145,0.4413793103448276,1.5343929483879128,14.151389593968554,0.9517241379310345,Realistic
6,0.0015,0.8,139,0.4460431654676259,1.5155467301658714,14.27177005181742,0.9784172661870504,Realistic
6,0.0015,0.1,159,0.4339622641509434,1.4677364269091884,11.691972443447883,0.949685534591195,Realistic
3,0.0015,1.0,94,0.46808510638297873,1.4285611530451123,8.995295886308575,0.9680851063829787,Realistic
6,0.002,1.0,72,0.4444444444444444,1.4280200822611022,6.532069921426187,0.9722222222222222,Realistic
3,0.001,0.5,274,0.4343065693430657,1.3773384936438882,22.1615032031256,0.9635036496350365,Realistic
3,0.0015,0.8,97,0.4948453608247423,1.3692547009585287,7.444872634768341,0.9587628865979382,Realistic
3,0.001,1.0,262,0.40076335877862596,1.3639780334774856,23.47201761061279,0.9656488549618321,Realistic
3,0.0015,0.5,98,0.5204081632653061,1.3510771880757997,6.830991433058875,0.9693877551020408,Realistic
3,0.001,0.2,283,0.43109540636042404,1.3449111253736101,20.02241027217027,0.9646643109540636,Realistic
3,0.001,0.8,268,0.417910447761194,1.3170108109944991,19.204878289314003,0.9664179104477612,Realistic
3,0.001,0.1,285,0.43859649122807015,1.3119529946927624,17.706007813206803,0.9649122807017544,Realistic
6,0.002,0.8,73,0.4383561643835616,1.2256153404190666,3.5838621258069696,0.9726027397260274,Realistic
12,0.0015,0.1,282,0.36879432624113473,1.2063358833689177,9.099611953681588,0.9822695035460993,Realistic
3,0.0015,0.2,101,0.4752475247524752,1.202282497029369,3.913996671740565,0.9900990099009901,Realistic
3,0.0015,0.1,104,0.46153846153846156,1.1480083674060737,2.966199789461297,1.0,Realistic
6,0.002,0.5,76,0.4342105263157895,1.1325218142389017,1.9691076503258187,0.9605263157894737,Realistic
6,0.002,0.1,82,0.45121951219512196,1.1298566785361006,1.7028718261242752,0.9878048780487805,Realistic
6,0.001,0.5,475,0.35578947368421054,1.129095335454653,12.949457254603447,0.968421052631579,Realistic
12,0.0015,0.2,270,0.3296296296296296,1.125357965653235,5.906462238931507,0.9814814814814815,Realistic
12,0.002,0.1,135,0.362962962962963,1.1144010010521523,2.5152821129471015,1.0,Realistic
12,0.002,0.2,128,0.359375,1.0814976500445075,1.815301354305826,1.0,Realistic
6,0.001,0.8,463,0.367170626349892,1.0801506355265051,8.528310795752889,0.9740820734341252,Realistic
6,0.001,0.1,524,0.36259541984732824,1.066431248985361,6.371235590725444,0.9656488549618321,Realistic
3,0.002,0.1,45,0.5111111111111111,1.0663672087560498,0.5865995201037308,1.0,Realistic
6,0.001,1.0,456,0.3574561403508772,1.065762282754352,7.403733172007492,0.9824561403508771,Realistic
6,0.001,0.2,511,0.36007827788649704,1.0623536077193598,6.093343871319991,0.9628180039138943,Realistic
24,0.003,0.1,73,0.410958904109589,1.0337248709869111,0.288393230205704,0.9863013698630136,Realistic
3,0.002,0.2,44,0.4772727272727273,1.028951257723029,0.2774187027193007,1.0,Realistic
6,0.002,0.2,80,0.4375,1.0287428252424708,0.41333399598281195,0.9875,Realistic
3,0.0005,0.2,2047,0.3610161211529067,0.9738581069581335,-13.666523033285525,0.9780166096726918,Realistic
12,0.002,0.5,121,0.36363636363636365,0.9718058781990377,-0.7012488051540702,0.9669421487603306,Realistic
6,0.003,1.0,30,0.36666666666666664,0.9668894080195486,-0.24113802411788576,1.0,Realistic
12,0.0015,0.5,249,0.3614457831325301,0.9574049005918145,-2.2370094460861445,0.9759036144578314,Realistic
3,0.0005,0.1,2071,0.3553838725253501,0.9497273963961148,-26.081799081586034,0.9729599227426364,Realistic
3,0.0005,0.5,1981,0.3528520949015649,0.9460788610702364,-29.537890035769475,0.9697122665320546,Realistic
24,0.003,0.2,69,0.37681159420289856,0.9359897709573584,-0.5852065462688865,0.9855072463768116,Realistic
3,0.0005,1.0,1888,0.3469279661016949,0.9333950963365089,-39.879136813972465,0.9682203389830508,Realistic
12,0.0015,0.8,247,0.3603238866396761,0.9250052601220682,-4.1816863311892085,0.979757085020243,Realistic
3,0.002,0.5,44,0.45454545454545453,0.923214620468908,-0.8090858684224045,0.9772727272727273,Realistic
3,0.0005,0.8,1919,0.341323606044815,0.9134815972940069,-50.487792296548534,0.969254820218864,Realistic
6,0.0005,1.0,2513,0.35057699960206923,0.8871626046514703,-96.02695461236098,0.9781138081973737,Realistic
12,0.001,0.2,858,0.3344988344988345,0.8830561341119643,-18.813431473432225,0.9801864801864801,Realistic
6,0.0005,0.8,2589,0.3530320587099266,0.8809424336008042,-98.67809530445882,0.973735032831209,Realistic
6,0.0005,0.5,2773,0.35124413992066356,0.8770621790568066,-97.80908828196321,0.9747565813198702,Realistic
12,0.001,0.1,910,0.3373626373626374,0.8762829711870523,-19.818697084171994,0.9813186813186813,Realistic
12,0.002,0.8,120,0.3333333333333333,0.855086793229916,-3.7768223606315363,0.9916666666666667,Realistic
12,0.001,0.5,765,0.3673202614379085,0.8510167634761163,-26.100541029376984,0.9764705882352941,Realistic
6,0.0005,0.2,3004,0.340878828229028,0.8428227041209401,-123.7417579497907,0.975699067909454,Realistic
12,0.003,0.2,49,0.32653061224489793,0.8418099888986239,-1.5422249718212897,1.0,Realistic
12,0.002,1.0,119,0.3445378151260504,0.8335406854986637,-4.474996800169133,0.9747899159663865,Realistic
