pair,case_type,direction,entry_time,exit_time,exit_reason,propagation,pnl_pct
USDJPY,B,LONG,2023-05-05 13:40:00,2023-05-05 13:50:00,stop,Pseudo,-0.5375968392957361
NZDJPY,B,LONG,2023-05-05 13:40:00,2023-05-05 14:00:00,spread_reduced,Pseudo,-0.44064915767091006
CHFJPY,B,LONG,2023-05-05 13:40:00,2023-05-05 14:00:00,spread_reduced,Pseudo,-0.4730180533279264
USDJPY,B,LONG,2023-05-05 15:00:00,2023-05-05 16:00:00,spread_reduced,Pseudo,-0.14408523568846626
NZDJPY,B,LONG,2023-05-05 15:00:00,2023-05-05 16:00:00,spread_reduced,Pseudo,0.0958264829610626
CHFJPY,B,LONG,2023-05-05 15:00:00,2023-05-05 16:00:00,spread_reduced,Pseudo,0.19491221258179556
USDJPY,B,LONG,2023-05-07 23:15:00,2023-05-07 23:55:00,spread_reduced,Pseudo,-0.021702027139173612
NZDJPY,B,LONG,2023-05-07 23:15:00,2023-05-07 23:55:00,spread_reduced,Pseudo,-0.20979067303635487
CHFJPY,B,LONG,2023-05-07 23:15:00,2023-05-07 23:55:00,spread_reduced,Pseudo,-0.16830350120466964
USDJPY,B,SHORT,2023-05-08 00:20:00,2023-05-08 00:30:00,spread_reduced,Pseudo,-0.08962199148624765
NZDJPY,B,SHORT,2023-05-08 00:20:00,2023-05-08 00:30:00,spread_reduced,Pseudo,-0.20815250390837647
CHFJPY,B,SHORT,2023-05-08 00:20:00,2023-05-08 00:30:00,spread_reduced,Pseudo,-0.21795940971928535
USDJPY,B,SHORT,2023-05-09 01:50:00,2023-05-09 02:15:00,spread_reduced,Pseudo,-0.35027286073674446
NZDJPY,B,SHORT,2023-05-09 01:50:00,2023-05-09 02:15:00,spread_reduced,Pseudo,-0.46886156801277207
CHFJPY,B,SHORT,2023-05-09 01:50:00,2023-05-09 02:15:00,spread_reduced,Pseudo,-0.33677447595067045
USDJPY,B,SHORT,2023-05-09 07:35:00,2023-05-09 08:05:00,spread_reduced,Pseudo,0.16360710395653863
NZDJPY,B,SHORT,2023-05-09 07:35:00,2023-05-09 08:05:00,spread_reduced,Pseudo,-0.20953884208855617
CHFJPY,B,SHORT,2023-05-09 07:35:00,2023-05-09 08:05:00,spread_reduced,Pseudo,-0.10387994438502506
USDJPY,B,LONG,2023-05-09 08:25:00,2023-05-09 09:25:00,spread_reduced,Pseudo,-0.003209719424542475
NZDJPY,B,LONG,2023-05-09 08:25:00,2023-05-09 09:25:00,spread_reduced,Pseudo,0.05988657107887837
CHFJPY,B,LONG,2023-05-09 08:25:00,2023-05-09 09:25:00,spread_reduced,Real,0.28618638094801696
USDJPY,B,SHORT,2023-05-10 07:55:00,2023-05-10 08:30:00,spread_reduced,Pseudo,0.12495441554386903
NZDJPY,B,SHORT,2023-05-10 07:55:00,2023-05-10 08:30:00,spread_reduced,Pseudo,0.211373045732118
CHFJPY,B,SHORT,2023-05-10 07:55:00,2023-05-10 08:30:00,spread_reduced,Both,0.3374030561282826
USDJPY,B,SHORT,2023-05-10 12:50:00,2023-05-10 13:15:00,stop,Pseudo,-0.5428023440796625
