label,n,μ(%),Skew,Kurt,VaR95(%),CVaR95(%),P(r>σ)%,P(r<-σ)%,TailRatio,OmegaRatio,Strategy,score_short,score_long,pair,base,quote,session,group
Q25,6965,0.00148,0.1534,13.302,-0.19778,-0.2998,10.68,10.88,0.9949,1.0329,△long（中）,1,2,NZDJPY,NZD,JPY,"NY
21-03JST",Q25
Q10,3230,0.0018,0.7469,10.838,-0.22475,-0.3196,10.56,11.27,1.0102,1.0353,▲LONG（強）,0,4,NZDJPY,NZD,JPY,"NY
21-03JST",Q10
Q10+ac>0,1218,0.00571,1.1122,8.368,-0.23159,-0.32522,10.92,10.92,1.0399,1.1114,▲LONG（強）,0,4,NZDJPY,NZD,JPY,"NY
21-03JST",Q10+ac>0
Q10+ac<0,2012,-0.00057,0.4777,12.603,-0.22283,-0.31605,10.29,11.58,0.9664,0.9889,▼SHORT（強）,3,1,NZDJPY,NZD,JPY,"NY
21-03JST",Q10+ac<0
全BreakDown,19087,0.00242,-0.9866,30.133,-0.12615,-0.23475,8.6,7.78,1.0048,1.0844,▲LONG（強）,1,3,NZDJPY,NZD,JPY,"深夜
03-09JST",全BreakDown
Q25,4078,0.00332,-1.3654,24.338,-0.17827,-0.31377,8.46,8.46,0.8885,1.0898,▽short（中）,2,2,NZDJPY,NZD,JPY,"深夜
03-09JST",Q25
Q10,1419,-0.00222,-1.4125,21.932,-0.21377,-0.35142,8.67,10.29,0.862,0.953,▼SHORT（強）,4,0,NZDJPY,NZD,JPY,"深夜
03-09JST",Q10
Q10+ac>0,582,-0.00138,0.1257,5.338,-0.22188,-0.3376,10.31,12.37,0.8797,0.9725,▼SHORT（強）,3,0,NZDJPY,NZD,JPY,"深夜
03-09JST",Q10+ac>0
Q10+ac<0,837,-0.0028,-2.543,34.294,-0.20239,-0.35666,7.53,8.6,0.8328,0.938,▼SHORT（強）,4,0,NZDJPY,NZD,JPY,"深夜
03-09JST",Q10+ac<0
全BreakDown,19983,0.00124,-1.8522,93.645,-0.10929,-0.19899,7.34,7.01,0.9775,1.0491,▽short（中）,2,2,CHFJPY,CHF,JPY,"東京
09-15JST",全BreakDown
Q25,5981,0.00251,-2.457,65.084,-0.1369,-0.23516,7.89,8.43,0.9417,1.0831,▽short（中）,2,2,CHFJPY,CHF,JPY,"東京
09-15JST",Q25
Q10,2256,0.00301,-0.5734,16.574,-0.17312,-0.28587,8.42,8.69,0.9232,1.0798,▽short（中）,2,2,CHFJPY,CHF,JPY,"東京
09-15JST",Q10
Q10+ac>0,805,-0.00434,-0.9795,16.301,-0.20044,-0.34313,6.46,9.69,0.8116,0.9057,▼SHORT（強）,4,0,CHFJPY,CHF,JPY,"東京
09-15JST",Q10+ac>0
Q10+ac<0,1451,0.00709,0.0168,13.655,-0.1533,-0.24839,10.06,8.96,1.0259,1.2139,▲LONG（強）,0,3,CHFJPY,CHF,JPY,"東京
09-15JST",Q10+ac<0
全BreakDown,20530,0.00227,0.4889,26.818,-0.14622,-0.23266,10.43,9.9,1.0107,1.0677,▲LONG（強）,0,4,CHFJPY,CHF,JPY,"欧州
15-21JST",全BreakDown
Q25,6943,0.00251,0.7167,16.079,-0.16993,-0.26646,10.1,10.27,0.9438,1.0658,▲LONG（強）,1,3,CHFJPY,CHF,JPY,"欧州
15-21JST",Q25
Q10,3099,0.00092,0.4308,11.826,-0.20553,-0.3262,9.42,10.75,0.9109,1.02,▲LONG（強）,1,3,CHFJPY,CHF,JPY,"欧州
15-21JST",Q10
Q10+ac>0,1262,0.00271,0.6414,11.807,-0.2112,-0.32708,9.03,11.09,0.9335,1.0582,▲LONG（強）,1,3,CHFJPY,CHF,JPY,"欧州
15-21JST",Q10+ac>0
Q10+ac<0,1837,-0.00031,0.2825,11.829,-0.20486,-0.32422,9.64,10.45,0.8825,0.9932,▼SHORT（強）,3,1,CHFJPY,CHF,JPY,"欧州
15-21JST",Q10+ac<0
全BreakDown,20298,0.00262,-0.2933,16.743,-0.14307,-0.22327,11.32,10.57,1.0106,1.082,▲LONG（強）,1,3,CHFJPY,CHF,JPY,"NY
21-03JST",全BreakDown
Q25,7023,0.00243,0.8137,11.04,-0.16351,-0.24379,10.94,11.15,0.9842,1.0666,▲LONG（強）,1,3,CHFJPY,CHF,JPY,"NY
21-03JST",Q25
Q10,3387,7e-05,0.9025,9.669,-0.18855,-0.27208,11.04,11.99,0.9343,1.0015,▲LONG（強）,1,3,CHFJPY,CHF,JPY,"NY
21-03JST",Q10
Q10+ac>0,1259,-0.00306,0.498,5.352,-0.1987,-0.28181,11.44,12.95,0.8502,0.934,▼SHORT（強）,3,1,CHFJPY,CHF,JPY,"NY
21-03JST",Q10+ac>0
Q10+ac<0,2128,0.00191,1.1567,12.372,-0.18436,-0.26542,10.81,11.42,0.9858,1.0462,▲LONG（強）,1,3,CHFJPY,CHF,JPY,"NY
21-03JST",Q10+ac<0
全BreakDown,19087,0.00293,-1.2005,101.893,-0.08473,-0.15602,7.97,6.56,1.0744,1.1501,▲LONG（強）,1,3,CHFJPY,CHF,JPY,"深夜
03-09JST",全BreakDown
Q25,3818,0.00728,-4.5153,82.256,-0.10853,-0.21394,7.81,5.87,1.0932,1.3088,▲LONG（強）,1,3,CHFJPY,CHF,JPY,"深夜
03-09JST",Q25
Q10,1126,0.00389,-3.7733,52.981,-0.14079,-0.2964,6.75,6.22,1.0162,1.1166,▲LONG（強）,1,3,CHFJPY,CHF,JPY,"深夜
03-09JST",Q10
Q10+ac>0,365,0.01112,0.4468,8.695,-0.14685,-0.25015,10.41,9.04,1.1467,1.3463,▲LONG（強）,0,4,CHFJPY,CHF,JPY,"深夜
03-09JST",Q10+ac>0
Q10+ac<0,761,0.00042,-4.8245,60.349,-0.13737,-0.31456,4.47,5.26,0.9587,1.0124,▽short（中）,2,2,CHFJPY,CHF,JPY,"深夜
03-09JST",Q10+ac<0
全BreakDown,20049,0.0012,0.8888,100.465,-0.07559,-0.12462,8.52,8.07,1.0358,1.0684,▲LONG（強）,0,4,GBPUSD,GBP,USD,"東京
09-15JST",全BreakDown
Q25,4937,0.00397,0.2861,109.495,-0.0798,-0.12823,8.89,7.37,1.0657,1.2237,▲LONG（強）,0,4,GBPUSD,GBP,USD,"東京
09-15JST",Q25
Q10,1270,0.00787,0.1755,4.681,-0.1046,-0.14871,13.31,9.84,1.0082,1.379,▲LONG（強）,0,3,GBPUSD,GBP,USD,"東京
09-15JST",Q10
Q10+ac>0,483,0.01125,0.6204,4.305,-0.10418,-0.14304,13.87,8.9,1.1485,1.5877,▲LONG（強）,0,4,GBPUSD,GBP,USD,"東京
09-15JST",Q10+ac>0
Q10+ac<0,787,0.00579,-0.1292,4.854,-0.10462,-0.15114,12.96,10.67,0.9875,1.2662,△long（中）,1,2,GBPUSD,GBP,USD,"東京
09-15JST",Q10+ac<0
全BreakDown,20707,-0.00016,-0.7003,15.338,-0.14085,-0.21706,11.26,11.32,1.0039,0.9951,▼SHORT（強）,3,1,GBPUSD,GBP,USD,"欧州
15-21JST",全BreakDown
