pair,base,quote,session,horizon,n,mean,skew,exkurt,lefttail,downrate,tstat,pval,judge
NZDUSD,NZD,USD,深夜 03-09,6,18805,0.0008437690965733409,-0.5190810357402992,50.87638860679571,1.0055197052480076,47.74793937782504,1.2805413860821193,0.20037059385947076,△long（弱）
NZDUSD,NZD,USD,深夜 03-09,12,18804,-0.0009062094725461361,-1.0984255193638204,31.67438992533308,1.0727732909690086,48.06955966815571,-0.9666393976800611,0.3337367646567413,─
NZDUSD,NZD,USD,深夜 03-09,24,18798,-0.0012901061026603011,-0.41068591822497974,15.444428066696332,1.0959357911947925,48.058304074901585,-0.9927147080835742,0.3208617837353842,─
EURGBP,EUR,GBP,東京 09-15,6,19893,0.0007730925076123419,0.619269603709463,39.65039482063095,0.9591216525625631,47.95154074297492,3.1368617434694968,0.0017101562902999486,▲LONG
EURGBP,EUR,GBP,東京 09-15,12,19893,0.0009245693735106875,0.5854319071421763,20.435214794721457,1.0215083452173797,48.363746041321065,2.5590820315848983,0.010502228198523979,▲LONG
EURGBP,EUR,GBP,東京 09-15,24,19893,0.002494846242985461,0.8622181370400156,11.66645747744594,1.0007101184098353,48.318503996380635,4.35770064232584,1.3209447705971617e-05,▲LONG
EURGBP,EUR,GBP,欧州 15-21,6,20663,0.0021045300498578373,0.0967500935008341,14.27267224085945,0.9464340845689422,49.1700140347481,4.145493642162818,3.404342597913909e-05,─
EURGBP,EUR,GBP,欧州 15-21,12,20663,0.002690775073071519,0.1581717728533691,8.400273988124987,0.9143000410579925,49.673329139040796,3.744900914155864,0.00018095476977727652,─
EURGBP,EUR,GBP,欧州 15-21,24,20663,0.002047132545452922,0.011429537865467984,4.707030516555137,0.9437243948212034,50.21536078981755,2.0138847686483765,0.0440345704152318,─
EURGBP,EUR,GBP,NY   21-03,6,20619,-0.00038027242312092634,0.3403471315981179,11.080112107043027,0.992963078030584,50.14307192395363,-0.8202005909125742,0.412111247027518,─
EURGBP,EUR,GBP,NY   21-03,12,20619,-0.001733288599671027,0.5415478992585736,13.11832315676281,1.0293993127071304,51.02090305058441,-2.6942240627582077,0.007060984347082299,▽short（弱）
EURGBP,EUR,GBP,NY   21-03,24,20619,-0.004721586012607675,0.66598755752279,8.289057800789344,1.0652843093933109,52.19942771230418,-5.495414286720503,3.944091996699882e-08,▽short（弱）
EURGBP,EUR,GBP,深夜 03-09,6,19062,0.0019584835465629637,1.991726941273122,107.5164276140835,0.8721272146894753,46.201867589969574,7.551827665107,4.485231628901627e-14,▲LONG
EURGBP,EUR,GBP,深夜 03-09,12,19062,0.003014089751671253,1.9749729049310405,65.75751829652484,0.870488776658605,46.02350225579687,8.600355900061105,8.552992284388918e-18,▲LONG
EURGBP,EUR,GBP,深夜 03-09,24,19055,0.004023991339177892,1.4706383588945933,34.29319264188952,0.8766813705895845,45.851482550511676,8.65327116579821,5.39589682992849e-18,▲LONG
EURAUD,EUR,AUD,東京 09-15,6,20531,0.00018164461801122147,0.41606092824508784,20.88741021232067,1.0169008679383376,49.841702790901564,0.32518416382702925,0.7450450070547063,─
EURAUD,EUR,AUD,東京 09-15,12,20531,-0.001345412986223996,0.09755635493191772,10.527843631572454,0.9849604428928881,51.166528663971555,-1.7045107254931722,0.08830084478569257,▽short（弱）
EURAUD,EUR,AUD,東京 09-15,24,20531,-0.002485854394417741,0.10307672987931497,5.0847426976646535,0.9946438204149046,51.89226048414592,-2.227517885059818,0.025923477973046116,▽short（弱）
EURAUD,EUR,AUD,欧州 15-21,6,21013,0.00036717552319217147,3.6071228065576904,169.79226407325615,0.9679803605625565,50.149907200304575,0.6173120033791522,0.5370356403324833,─
EURAUD,EUR,AUD,欧州 15-21,12,21013,0.0010133720817839661,5.303555342728817,157.31402088554677,0.9607625222480695,49.9833436444106,1.1000118698305361,0.2713395524420782,─
EURAUD,EUR,AUD,欧州 15-21,24,21013,0.00076169156817265,3.1421449170354907,68.38776547256754,1.0223505237897113,49.76919050111835,0.5696861072754609,0.568896704725096,─
