signal_dt,entry_dt,exit_dt,session,direction,filter,entry_price,exit_price,sl_price,lot_size,held_bars,exit_reason,pnl_pips,pnl_yen,r_mult,atr_val,eur_jpy_diff,ac_val,period
2023-07-10 07:20:00,2023-07-10 07:25:00,2023-07-10 07:30:00,欧州 15-21JST,SHORT,Q10+ac>0,155.7575,155.87071,155.86821,4.52,1,stop,-11.32,-5113.0,-1.023,0.11071,-0.005066,0.3118,IS
2023-07-10 07:50:00,2023-07-10 07:55:00,2023-07-10 08:05:00,欧州 15-21JST,SHORT,Q10+ac>0,155.863,155.97718,155.97468,4.48,2,stop,-11.42,-5112.0,-1.022,0.11168,-0.004877,0.2802,IS
2023-07-10 07:55:00,2023-07-10 08:00:00,2023-07-10 08:05:00,欧州 15-21JST,SHORT,Q10+ac>0,155.876,155.98771,155.98521,4.58,1,stop,-11.17,-5114.0,-1.023,0.10921,-0.005016,0.2436,IS
2023-07-12 01:20:00,2023-07-12 01:25:00,2023-07-12 01:35:00,NY   21-03JST,LONG,Q10+ac<0,153.78,153.73325,153.66225,4.25,2,stop,-4.67,-1985.0,-0.397,0.11775,-0.005339,-0.1549,IS
2023-07-12 01:25:00,2023-07-12 01:30:00,2023-07-12 02:25:00,NY   21-03JST,LONG,Q10+ac<0,153.8065,154.00939,153.69189,4.36,11,stop,20.29,8852.0,1.77,0.11461,-0.005047,-0.1253,IS
2023-07-12 01:30:00,2023-07-12 01:35:00,2023-07-12 02:25:00,NY   21-03JST,LONG,Q10+ac<0,153.776,154.01118,153.66318,4.43,10,stop,23.52,10423.0,2.085,0.11282,-0.005509,-0.1768,IS
2023-07-12 01:35:00,2023-07-12 01:40:00,2023-07-12 02:25:00,NY   21-03JST,LONG,Q10+ac<0,153.822,154.01104,153.70904,4.43,9,stop,18.9,8367.0,1.673,0.11296,-0.005098,-0.2156,IS
2023-07-12 01:40:00,2023-07-12 01:45:00,2023-07-12 02:25:00,NY   21-03JST,LONG,Q10+ac<0,153.8,154.01536,153.69136,4.6,8,stop,21.54,9911.0,1.982,0.10864,-0.005284,-0.1793,IS
2023-07-12 01:50:00,2023-07-12 01:55:00,2023-07-12 02:25:00,NY   21-03JST,LONG,Q10+ac<0,153.811,154.01893,153.70593,4.76,6,stop,20.79,9895.0,1.979,0.10507,-0.004982,-0.2922,IS
2023-07-12 01:55:00,2023-07-12 02:00:00,2023-07-12 02:25:00,NY   21-03JST,LONG,Q10+ac<0,153.794,154.02389,153.69389,4.99,5,stop,22.99,11482.0,2.296,0.10011,-0.005224,-0.7189,IS
2023-07-14 01:40:00,2023-07-14 01:45:00,2023-07-14 02:10:00,NY   21-03JST,LONG,Q10+ac<0,154.2575,154.41604,154.14104,4.29,5,stop,15.85,6806.0,1.361,0.11646,-0.004894,-0.197,IS
