entry_time,exit_time,direction,entry_price,exit_price,stop_price,pnl_pips,exit_reason,hold_bars
2022-01-25 11:45:00+00:00,2022-01-25 12:05:00+00:00,Short,114.0105,113.988,114.1065,1.75,tp,4
2022-01-25 13:10:00+00:00,2022-01-25 13:15:00+00:00,Short,113.9715,114.024,114.024,-5.75,stop,1
2022-01-25 13:30:00+00:00,2022-01-25 13:50:00+00:00,Short,113.9605,113.941,114.0165,1.45,tp,4
2022-01-25 14:55:00+00:00,2022-01-25 18:35:00+00:00,Short,113.8285,113.903,113.903,-7.95,stop,20
2022-01-25 18:40:00+00:00,2022-01-25 21:45:00+00:00,Long,113.9265,113.8555,113.8555,-7.6,stop,37
2022-01-25 21:50:00+00:00,2022-01-25 22:10:00+00:00,Short,113.8475,113.88475,113.88475,-4.23,stop,4
2022-01-26 00:10:00+00:00,2022-01-26 00:30:00+00:00,Short,113.848,113.8425,113.90075,0.05,tp,4
2022-01-26 01:15:00+00:00,2022-01-26 01:35:00+00:00,Short,113.7915,113.8315,113.8315,-4.5,stop,4
2022-01-26 01:50:00+00:00,2022-01-26 02:15:00+00:00,Long,113.862,113.886,113.815,1.9,tp,5
2022-01-26 03:25:00+00:00,2022-01-26 05:00:00+00:00,Long,113.8885,113.9155,113.857,2.2,tp,19
2022-01-26 06:05:00+00:00,2022-01-26 06:15:00+00:00,Short,113.875,113.899,113.899,-2.9,stop,2
2022-01-26 06:20:00+00:00,2022-01-26 07:00:00+00:00,Long,113.906,113.9655,113.888,5.45,tp,8
2022-01-26 07:55:00+00:00,2022-01-26 08:40:00+00:00,Long,113.9785,114.109,113.95075,12.55,tp,9
2022-01-26 09:20:00+00:00,2022-01-26 09:30:00+00:00,Long,114.1815,114.11725,114.11725,-6.93,stop,2
2022-01-26 10:40:00+00:00,2022-01-26 13:20:00+00:00,Long,114.222,114.253,114.13525,2.6,tp,32
2022-01-26 14:00:00+00:00,2022-01-26 14:55:00+00:00,Long,114.3085,114.3535,114.23525,4.0,tp,11
2022-01-26 17:15:00+00:00,2022-01-26 18:00:00+00:00,Long,114.3515,114.3265,114.3265,-3.0,stop,9
2022-01-26 18:05:00+00:00,2022-01-26 18:30:00+00:00,Short,114.3165,114.31,114.34975,0.15,tp,5
2022-01-26 18:45:00+00:00,2022-01-26 18:50:00+00:00,Short,114.288,114.339,114.339,-5.6,stop,1
2022-01-26 19:05:00+00:00,2022-01-26 19:10:00+00:00,Long,114.466,114.32025,114.32025,-15.07,stop,1
2022-01-27 00:05:00+00:00,2022-01-27 00:50:00+00:00,Long,114.778,114.711,114.711,-7.2,stop,9
2022-01-27 00:55:00+00:00,2022-01-27 01:20:00+00:00,Short,114.6465,114.586,114.7425,5.55,tp,5
2022-01-27 02:15:00+00:00,2022-01-27 03:20:00+00:00,Short,114.4935,114.607,114.607,-11.85,stop,13
2022-01-27 03:25:00+00:00,2022-01-27 03:40:00+00:00,Long,114.613,114.6535,114.55325,3.55,tp,3
2022-01-27 05:05:00+00:00,2022-01-27 05:15:00+00:00,Long,114.676,114.63325,114.63325,-4.77,stop,2
2022-01-27 05:20:00+00:00,2022-01-27 05:35:00+00:00,Short,114.611,114.64375,114.64375,-3.78,stop,3
2022-01-27 05:45:00+00:00,2022-01-27 06:15:00+00:00,Long,114.674,114.7145,114.64,3.55,tp,6
2022-01-27 07:20:00+00:00,2022-01-27 07:30:00+00:00,Long,114.718,114.67775,114.67775,-4.52,stop,2
2022-01-27 07:45:00+00:00,2022-01-27 08:20:00+00:00,Long,114.7745,114.837,114.68525,5.75,tp,7
2022-01-27 10:05:00+00:00,2022-01-27 10:35:00+00:00,Long,115.048,115.1755,115.0005,12.25,tp,6
2022-01-27 12:40:00+00:00,2022-01-27 13:10:00+00:00,Long,115.2575,115.3585,115.19575,9.6,tp,6
2022-01-27 16:30:00+00:00,2022-01-27 17:00:00+00:00,Long,115.446,115.47,115.3935,1.9,tp,6
2022-01-27 18:20:00+00:00,2022-01-27 18:55:00+00:00,Short,115.2825,115.2125,115.3465,6.5,tp,7
2022-01-27 19:20:00+00:00,2022-01-27 19:40:00+00:00,Short,115.1795,115.2395,115.2395,-6.5,stop,4
2022-01-27 20:45:00+00:00,2022-01-27 21:35:00+00:00,Long,115.3585,115.361,115.3035,-0.25,tp,10
2022-01-27 22:15:00+00:00,2022-01-27 23:05:00+00:00,Short,115.324,115.306,115.355,1.3,tp,10
2022-01-28 00:15:00+00:00,2022-01-28 03:30:00+00:00,Long,115.4575,115.37375,115.37375,-8.87,stop,39
2022-01-28 03:35:00+00:00,2022-01-28 04:30:00+00:00,Short,115.353,115.42975,115.42975,-8.17,stop,11
2022-01-28 04:35:00+00:00,2022-01-28 05:25:00+00:00,Long,115.4425,115.4465,115.38125,-0.1,tp,10
2022-01-28 05:40:00+00:00,2022-01-28 05:50:00+00:00,Long,115.4655,115.4305,115.4305,-4.0,stop,2
2022-01-28 06:05:00+00:00,2022-01-28 06:50:00+00:00,Short,115.3725,115.4395,115.4395,-7.2,stop,9
2022-01-28 06:55:00+00:00,2022-01-28 07:40:00+00:00,Long,115.458,115.6345,115.39375,17.15,tp,9
2022-01-28 12:00:00+00:00,2022-01-28 12:35:00+00:00,Long,115.648,115.59475,115.59475,-5.82,stop,7
2022-01-28 12:45:00+00:00,2022-01-28 12:50:00+00:00,Short,115.5855,115.62725,115.62725,-4.68,stop,1
2022-01-28 13:15:00+00:00,2022-01-28 13:45:00+00:00,Short,115.5395,115.3565,115.62025,17.8,tp,6
2022-01-28 17:25:00+00:00,2022-01-28 18:20:00+00:00,Long,115.253,115.3165,115.20575,5.85,tp,11
2022-01-28 18:35:00+00:00,2022-01-28 19:10:00+00:00,Long,115.3265,115.27425,115.27425,-5.73,stop,7
2022-01-28 19:55:00+00:00,2022-01-28 21:00:00+00:00,Short,115.2075,115.25825,115.25825,-5.57,stop,13
2022-01-28 21:05:00+00:00,2022-01-28 21:10:00+00:00,Long,115.2765,115.2285,115.2285,-5.3,stop,1
2022-01-31 00:25:00+00:00,2022-01-31 00:45:00+00:00,Long,115.3615,115.38,115.295,1.35,tp,4
2022-01-31 02:15:00+00:00,2022-01-31 02:30:00+00:00,Long,115.533,115.534,115.44325,-0.4,tp,3
2022-01-31 04:10:00+00:00,2022-01-31 04:45:00+00:00,Short,115.4885,115.4725,115.52125,1.1,tp,7
2022-01-31 05:20:00+00:00,2022-01-31 05:40:00+00:00,Short,115.437,115.4265,115.47825,0.55,tp,4
2022-01-31 05:50:00+00:00,2022-01-31 06:05:00+00:00,Short,115.416,115.45725,115.45725,-4.63,stop,3
2022-01-31 06:25:00+00:00,2022-01-31 06:40:00+00:00,Long,115.5085,115.4455,115.4455,-6.8,stop,3
2022-01-31 07:05:00+00:00,2022-01-31 07:35:00+00:00,Short,115.414,115.46775,115.46775,-5.87,stop,6
2022-01-31 07:40:00+00:00,2022-01-31 08:10:00+00:00,Long,115.49,115.42075,115.42075,-7.43,stop,6
2022-01-31 08:25:00+00:00,2022-01-31 08:35:00+00:00,Short,115.371,115.44225,115.44225,-7.62,stop,2
2022-01-31 08:50:00+00:00,2022-01-31 09:40:00+00:00,Long,115.467,115.41225,115.41225,-5.97,stop,10
2022-01-31 09:45:00+00:00,2022-01-31 10:15:00+00:00,Short,115.4,115.45275,115.45275,-5.77,stop,6
2022-01-31 10:20:00+00:00,2022-01-31 10:40:00+00:00,Long,115.4705,115.4955,115.425,2.0,tp,4
2022-01-31 11:30:00+00:00,2022-01-31 11:35:00+00:00,Short,115.443,115.498,115.498,-6.0,stop,1
2022-01-31 12:05:00+00:00,2022-01-31 12:25:00+00:00,Short,115.442,115.421,115.48275,1.6,tp,4
2022-01-31 13:05:00+00:00,2022-01-31 13:10:00+00:00,Short,115.38,115.4265,115.4265,-5.15,stop,1
2022-01-31 13:30:00+00:00,2022-01-31 13:35:00+00:00,Long,115.4755,115.42125,115.42125,-5.92,stop,1
2022-01-31 13:45:00+00:00,2022-01-31 14:00:00+00:00,Short,115.371,115.3035,115.42825,6.25,tp,3
2022-01-31 18:10:00+00:00,2022-01-31 18:45:00+00:00,Short,115.0595,115.009,115.14775,4.55,tp,7
2022-01-31 20:25:00+00:00,2022-01-31 20:50:00+00:00,Long,115.0545,115.088,115.004,2.85,tp,5
2022-01-31 21:05:00+00:00,2022-01-31 21:20:00+00:00,Long,115.112,115.1215,115.0455,0.45,tp,3
2022-01-31 21:40:00+00:00,2022-01-31 22:10:00+00:00,Long,115.1265,115.127,115.08725,-0.45,tp,6
2022-02-01 12:25:00+00:00,2022-02-01 12:35:00+00:00,Short,114.573,114.62275,114.62275,-5.47,stop,2
2022-02-01 13:00:00+00:00,2022-02-01 13:20:00+00:00,Long,114.6795,114.6945,114.62025,1.0,tp,4
2022-02-01 14:45:00+00:00,2022-02-01 15:20:00+00:00,Long,114.772,114.866,114.70825,8.9,tp,7
2022-02-01 17:15:00+00:00,2022-02-01 17:40:00+00:00,Short,114.735,114.699,114.7605,3.1,tp,5
2022-02-01 19:10:00+00:00,2022-02-01 20:10:00+00:00,Long,114.7245,114.751,114.66925,2.15,tp,12
2022-02-01 21:00:00+00:00,2022-02-01 21:30:00+00:00,Short,114.6895,114.6855,114.7345,-0.1,tp,6
2022-02-02 00:20:00+00:00,2022-02-02 00:35:00+00:00,Long,114.7385,114.7495,114.71975,0.6,tp,3
2022-02-02 00:55:00+00:00,2022-02-02 01:20:00+00:00,Short,114.6865,114.6805,114.743,0.1,tp,5
2022-02-02 02:25:00+00:00,2022-02-02 03:35:00+00:00,Long,114.74,114.774,114.7,2.9,tp,14
2022-02-02 03:55:00+00:00,2022-02-02 06:15:00+00:00,Long,114.7835,114.74125,114.74125,-4.72,stop,28
2022-02-02 06:20:00+00:00,2022-02-02 06:55:00+00:00,Short,114.726,114.708,114.753,1.3,tp,7
2022-02-02 07:05:00+00:00,2022-02-02 07:35:00+00:00,Short,114.651,114.6415,114.72875,0.45,tp,6
2022-02-02 13:00:00+00:00,2022-02-02 13:25:00+00:00,Short,114.237,114.30425,114.30425,-7.23,stop,5
2022-02-02 16:10:00+00:00,2022-02-02 16:35:00+00:00,Long,114.3845,114.33275,114.33275,-5.67,stop,5
2022-02-02 17:25:00+00:00,2022-02-02 18:30:00+00:00,Short,114.3145,114.352,114.352,-4.25,stop,13
2022-02-02 18:35:00+00:00,2022-02-02 18:55:00+00:00,Long,114.3725,114.3925,114.3305,1.5,tp,4
2022-02-02 19:05:00+00:00,2022-02-02 20:30:00+00:00,Long,114.4145,114.4175,114.35925,-0.2,tp,17
2022-02-02 20:45:00+00:00,2022-02-02 21:00:00+00:00,Long,114.4425,114.447,114.4055,-0.05,tp,3
2022-02-02 22:00:00+00:00,2022-02-02 22:15:00+00:00,Long,114.462,114.4365,114.4365,-3.05,stop,3
2022-02-03 00:10:00+00:00,2022-02-03 00:15:00+00:00,Short,114.346,114.3845,114.3845,-4.35,stop,1
2022-02-03 00:20:00+00:00,2022-02-03 02:00:00+00:00,Long,114.452,114.369,114.369,-8.8,stop,20
2022-02-03 02:05:00+00:00,2022-02-03 02:30:00+00:00,Short,114.357,114.408,114.408,-5.6,stop,5
2022-02-03 02:50:00+00:00,2022-02-03 04:20:00+00:00,Long,114.4435,114.513,114.39075,6.45,tp,18
2022-02-03 05:25:00+00:00,2022-02-03 06:10:00+00:00,Long,114.5215,114.5375,114.487,1.1,tp,9
2022-02-03 07:00:00+00:00,2022-02-03 07:05:00+00:00,Long,114.5475,114.51925,114.51925,-3.32,stop,1
2022-02-03 07:30:00+00:00,2022-02-03 08:10:00+00:00,Long,114.592,114.6635,114.52575,6.65,tp,8
2022-02-03 08:55:00+00:00,2022-02-03 09:15:00+00:00,Long,114.6935,114.707,114.6295,0.85,tp,4
2022-02-03 09:50:00+00:00,2022-02-03 10:35:00+00:00,Long,114.7715,114.781,114.6955,0.45,tp,9
2022-02-03 11:20:00+00:00,2022-02-03 11:40:00+00:00,Long,114.7955,114.817,114.774,1.65,tp,4
2022-02-03 11:50:00+00:00,2022-02-03 12:00:00+00:00,Long,114.8405,114.801,114.801,-4.45,stop,2
2022-02-03 12:15:00+00:00,2022-02-03 12:40:00+00:00,Long,114.8455,114.874,114.80125,2.35,tp,5
2022-02-03 19:35:00+00:00,2022-02-03 20:05:00+00:00,Long,114.9265,114.89625,114.89625,-3.53,stop,6
2022-02-03 20:20:00+00:00,2022-02-03 20:50:00+00:00,Long,114.9415,114.9555,114.91025,0.9,tp,6
2022-02-03 21:20:00+00:00,2022-02-03 21:55:00+00:00,Long,114.9645,114.9725,114.9385,0.3,tp,7
2022-02-04 01:05:00+00:00,2022-02-04 01:20:00+00:00,Short,114.9375,114.9365,114.99775,-0.4,tp,3
2022-02-04 01:40:00+00:00,2022-02-04 01:55:00+00:00,Short,114.85,114.848,114.94325,-0.3,tp,3
