pair,strategy,direction,entry_time,entry_price,partial_exit_time,partial_exit_price,partial_pnl_pct,exit_time,exit_price,exit_reason,pnl_pct
CHFJPY,TREND,LONG,2026-04-30 12:35:00+00:00,199.972985256958,,,,2026-04-30 12:50:00+00:00,200.05298371887207,state_change,0.040004634531642935
CHFJPY,TREND,LONG,2026-04-30 13:15:00+00:00,200.16001911621095,,,,2026-04-30 13:30:00+00:00,199.5570807220459,state_change,-0.30122818574221943
CHFJPY,TREND,LONG,2026-04-30 14:10:00+00:00,200.4760918395996,,,,2026-04-30 14:25:00+00:00,200.25594604797362,state_change,-0.10981149403197499
CHFJPY,TREND,LONG,2026-04-30 14:30:00+00:00,200.47108595581054,,,,2026-04-30 14:40:00+00:00,199.62007166137695,state_change,-0.4245072501982472
CHFJPY,TREND,LONG,2026-04-30 15:00:00+00:00,200.58710646972656,,,,2026-04-30 15:05:00+00:00,200.49289815979003,state_change,-0.046966283922511565
CHFJPY,TREND,LONG,2026-04-30 15:20:00+00:00,200.71213146972656,,,,2026-04-30 15:30:00+00:00,200.4878942779541,state_change,-0.11172079641149635
CHFJPY,TREND,LONG,2026-04-30 18:45:00+00:00,200.18903187561034,,,,2026-04-30 18:50:00+00:00,200.20294761657715,state_change,0.006951300396651483
CHFJPY,TREND,LONG,2026-04-30 21:40:00+00:00,200.52810419311524,,,,2026-04-30 21:45:00+00:00,200.37291178588868,state_change,-0.07739184881392358
CHFJPY,MEAN_REVERSION,LONG,2026-05-01 05:40:00+00:00,201.00619661865235,,,,2026-05-01 06:40:00+00:00,200.67186321411134,state_change,-0.16632989935893017
CHFJPY,TREND,SHORT,2026-05-01 06:45:00+00:00,199.50708767089844,,,,2026-05-01 06:50:00+00:00,199.71193146972655,state_change,-0.1026749481532363
CHFJPY,TREND,SHORT,2026-05-04 18:55:00+00:00,200.05197684020996,,,,2026-05-04 19:00:00+00:00,200.58910577087403,state_change,-0.26849468780461017
CHFJPY,TREND,LONG,2026-05-05 14:55:00+00:00,201.75933793945313,,,,2026-05-05 15:00:00+00:00,201.63166267089844,state_change,-0.06328097120987808
CHFJPY,TREND,SHORT,2026-05-06 08:05:00+00:00,200.01998555908204,,,,2026-05-06 08:10:00+00:00,200.0970182373047,state_change,-0.038512490643038966
CHFJPY,TREND,SHORT,2026-05-06 10:20:00+00:00,200.03798732910155,,,,2026-05-06 10:30:00+00:00,200.2670504058838,state_change,-0.11450978878595475
GBPUSD,TREND,LONG,2026-03-20 12:05:00+00:00,1.340982597541809,,,,2026-03-20 12:10:00+00:00,1.340015098810196,state_change,-0.07214849270874568
GBPUSD,TREND,SHORT,2026-03-20 13:35:00+00:00,1.3353991656064987,,,,2026-03-20 13:40:00+00:00,1.3371746490240097,state_change,-0.13295525886483084
GBPUSD,TREND,SHORT,2026-03-20 14:50:00+00:00,1.3303828884840012,,,,2026-03-20 14:55:00+00:00,1.33128536696434,state_change,-0.06783599579871513
GBPUSD,TREND,LONG,2026-03-23 08:05:00+00:00,1.3309009593486785,,,,2026-03-23 08:15:00+00:00,1.3316444664478302,state_change,0.0558649457669258
GBPUSD,TREND,LONG,2026-03-23 11:05:00+00:00,1.3411515508890153,,,,2026-03-23 11:10:00+00:00,1.3368919633388519,state_change,-0.31760672739332696
GBPUSD,TREND,SHORT,2026-03-23 21:05:00+00:00,1.3419846383333207,,,,2026-03-23 21:10:00+00:00,1.3429109549760818,state_change,-0.0690258752821249
