pair,base,quote,session,horizon,group,n,mean,skew,kurt
AUDUSD,AUD,USD,NY   21-03JST,3,Q10+ac>0,1497,-0.0002590105260834371,0.35411356492166446,2.4805540713986476
AUDUSD,AUD,USD,NY   21-03JST,3,Q10+ac<0,2551,0.0009861093839139655,-0.05377771378524723,4.193865252024237
AUDUSD,AUD,USD,NY   21-03JST,6,全BreakDown,20555,-0.0005250498770022466,0.4608044408584066,15.525826455337313
AUDUSD,AUD,USD,NY   21-03JST,6,Q10,4048,0.0015953241440180089,0.4605395956092537,3.790003198990992
AUDUSD,AUD,USD,NY   21-03JST,6,Q10+ac>0,1497,0.0035135675029258446,0.5873586140481816,5.601292950775711
AUDUSD,AUD,USD,NY   21-03JST,6,Q10+ac<0,2551,0.0004696438977283068,0.40112213775082645,2.929217901238559
AUDUSD,AUD,USD,NY   21-03JST,12,全BreakDown,20555,-0.0018275824234695141,0.2887033635676104,9.12904245189079
AUDUSD,AUD,USD,NY   21-03JST,12,Q10,4048,-0.002078230790391672,0.7832501458716726,6.427968550875688
AUDUSD,AUD,USD,NY   21-03JST,12,Q10+ac>0,1497,-0.005976387212045991,1.6048467114729712,12.90432849997054
AUDUSD,AUD,USD,NY   21-03JST,12,Q10+ac<0,2551,0.00020931925398955486,0.2268305323353418,1.838389100596558
AUDUSD,AUD,USD,NY   21-03JST,24,全BreakDown,20555,-0.005290210141364144,0.44731465163736517,7.3438995681031844
AUDUSD,AUD,USD,NY   21-03JST,24,Q10,4048,0.0008965833675693816,0.7895156285850756,5.665925659361884
AUDUSD,AUD,USD,NY   21-03JST,24,Q10+ac>0,1497,-0.004026391491587178,1.4623971029700518,9.347623594436186
AUDUSD,AUD,USD,NY   21-03JST,24,Q10+ac<0,2551,0.0037855262778623525,0.2206186593344287,1.9767984162620165
AUDUSD,AUD,USD,深夜 03-09JST,1,全BreakDown,18738,0.0006530395615052327,0.18067334037420052,45.27757085540949
AUDUSD,AUD,USD,深夜 03-09JST,1,Q10,1257,-3.859980348062909e-05,2.007429836140754,39.14079673478334
AUDUSD,AUD,USD,深夜 03-09JST,1,Q10+ac>0,508,-0.001411609594593032,-0.4774226600701334,2.989494210952291
AUDUSD,AUD,USD,深夜 03-09JST,1,Q10+ac<0,749,0.0008926271309454064,3.002784580088394,50.40891852088481
AUDUSD,AUD,USD,深夜 03-09JST,3,全BreakDown,18737,0.0014133377982891455,0.274256242630536,72.37102401630253
AUDUSD,AUD,USD,深夜 03-09JST,3,Q10,1257,0.00294040221905027,0.6642810724915376,16.170308559691414
AUDUSD,AUD,USD,深夜 03-09JST,3,Q10+ac>0,508,-0.001584592353051968,-0.3286698519716201,2.2019197884768564
AUDUSD,AUD,USD,深夜 03-09JST,3,Q10+ac<0,749,0.006009423904801855,0.9876588631544992,19.435717970592275
AUDUSD,AUD,USD,深夜 03-09JST,6,全BreakDown,18736,0.0010248103601935388,-0.25839588278986264,83.44440786132787
AUDUSD,AUD,USD,深夜 03-09JST,6,Q10,1257,0.0044786074562780925,3.0389198411110874,56.19123452270451
AUDUSD,AUD,USD,深夜 03-09JST,6,Q10+ac>0,508,0.0002900614902417154,5.663266745540344,86.91205675143222
AUDUSD,AUD,USD,深夜 03-09JST,6,Q10+ac<0,749,0.00731943703003841,0.06092949454087678,12.65518657084389
AUDUSD,AUD,USD,深夜 03-09JST,12,全BreakDown,18732,9.00242844059167e-05,-0.830047388999841,49.511469309473654
AUDUSD,AUD,USD,深夜 03-09JST,12,Q10,1257,0.0060010574351957195,1.172701798196386,21.61047820124144
AUDUSD,AUD,USD,深夜 03-09JST,12,Q10+ac>0,508,-0.0019881791540140416,0.8388361102416989,25.45202599274702
AUDUSD,AUD,USD,深夜 03-09JST,12,Q10+ac<0,749,0.011419658486355348,1.5441969307256154,15.891584873257155
AUDUSD,AUD,USD,深夜 03-09JST,24,全BreakDown,18726,0.0025348139607060094,-0.1404164354560348,24.312136449691888
AUDUSD,AUD,USD,深夜 03-09JST,24,Q10,1257,0.002831351067659297,-0.12896244201032822,14.487692871043794
AUDUSD,AUD,USD,深夜 03-09JST,24,Q10+ac>0,508,0.003435399077540641,1.1706147552649917,18.499321786508478
AUDUSD,AUD,USD,深夜 03-09JST,24,Q10+ac<0,749,0.0024216629648292345,-0.6151177195826082,12.494947303877046
NZDUSD,NZD,USD,東京 09-15JST,1,全BreakDown,20012,9.248198061779086e-05,-0.1562896911284548,67.52371974275907
NZDUSD,NZD,USD,東京 09-15JST,1,Q10,2154,0.0023343269102506854,2.9408460266761454,55.38690073171253
NZDUSD,NZD,USD,東京 09-15JST,1,Q10+ac>0,745,0.002812871141551481,-0.10745679867859179,1.6619040468905544
NZDUSD,NZD,USD,東京 09-15JST,1,Q10+ac<0,1409,0.002081299619747426,3.9933815665441306,70.81315439820258
NZDUSD,NZD,USD,東京 09-15JST,3,全BreakDown,20012,0.00014367302718453246,0.6862535055396792,48.98904936546637
NZDUSD,NZD,USD,東京 09-15JST,3,Q10,2154,0.007284025245337323,5.03166993074888,73.48464186894836
NZDUSD,NZD,USD,東京 09-15JST,3,Q10+ac>0,745,0.015176009162833015,6.912589303430884,90.73237459056662
NZDUSD,NZD,USD,東京 09-15JST,3,Q10+ac<0,1409,0.0031111877587977252,2.3286759773182375,28.4962162160495
NZDUSD,NZD,USD,東京 09-15JST,6,全BreakDown,20012,0.0003529248191557452,0.7152344989353973,21.435155161439106
NZDUSD,NZD,USD,東京 09-15JST,6,Q10,2154,0.009674908608779724,3.0812959414290697,31.561516190425692
NZDUSD,NZD,USD,東京 09-15JST,6,Q10+ac>0,745,0.02049931281428188,4.961756283642987,50.31012334195205
NZDUSD,NZD,USD,東京 09-15JST,6,Q10+ac<0,1409,0.003951572105515631,1.4009459045493213,10.254995732590494
NZDUSD,NZD,USD,東京 09-15JST,12,全BreakDown,20012,0.0014833677354733586,0.3147775770618922,10.67787181647106
NZDUSD,NZD,USD,東京 09-15JST,12,Q10,2154,0.0174690060552398,1.6282633669325643,11.19550709790187
